image_id,label
betterave/000541__flipv.png,2
persil/000855__flipv.png,3
epinard/001083.png,4
betterave/001567__rot-180.png,2
weeds/DSC01559_geotag_ROI_46.png,0
epinard/000043__fliph.png,4
betterave/002032__flipv.png,2
hors_type/DSC01535_geotag_ROI_13__flipv.png,1
persil/000291.png,3
epinard/000623__fliph.png,4
persil/001597__flipv.png,3
hors_type/DSC01636_geotag_ROI_17.png,1
weeds/DSC01606_geotag_ROI_69.png,0
persil/000773.png,3
epinard/000169__flipv.png,4
epinard/001276__flipv.png,4
weeds/DSC01618_geotag_ROI_16.png,0
betterave/001509__flipv.png,2
epinard/000061.png,4
persil/001002.png,3
hors_type/DSC01503_geotag_ROI_7__rot90.png,1
betterave/001443__rot-180.png,2
betterave/000688__flipv.png,2
epinard/000687.png,4
epinard/000761__flipv.png,4
hors_type/DSC01503_geotag_ROI_7__flipv.png,1
betterave/000422__rot-180.png,2
persil/001007.png,3
betterave/001336__fliph.png,2
weeds/DSC01605_geotag_ROI_430.png,0
weeds/DSC01567_geotag_ROI_31.png,0
persil/001525.png,3
betterave/001561__rot-180.png,2
betterave/001641__fliph.png,2
hors_type/DSC01482_geotag_ROI_110__flipv.png,1
hors_type/DSC01504_geotag_ROI_6__rot90.png,1
hors_type/DSC01552_geotag_ROI_19__fliph.png,1
betterave/001385__fliph.png,2
weeds/DSC01488_geotag_ROI_68.png,0
weeds/DSC01620_geotag_ROI_78.png,0
epinard/000759__flipv.png,4
weeds/010292.png,0
betterave/000844__rot-180.png,2
epinard/000256__flipv.png,4
betterave/001886__flipv.png,2
epinard/000879.png,4
persil/001805__flipv.png,3
epinard/001305__flipv.png,4
hors_type/DSC01570_geotag_ROI_11.png,1
weeds/DSC01605_geotag_ROI_161.png,0
hors_type/DSC01634_geotag_ROI_6__rot-90.png,1
betterave/000884__fliph.png,2
epinard/000574.png,4
epinard/000909__fliph.png,4
epinard/000879__flipv.png,4
weeds/DSC01604_geotag_ROI_102.png,0
weeds/DSC01604_geotag_ROI_47.png,0
betterave/000632.png,2
persil/000407__flipv.png,3
epinard/000996__fliph.png,4
hors_type/DSC01503_geotag_ROI_27__rot-90.png,1
persil/000953.png,3
